G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14.0","main.cluster index_upperinput":"14.0"}	This Node is a Singleton	N/A	N/A	N/A	8.7000	8.7000	0	N/A	N/A	0	0	14	-1	0	245.0820	0	245.0820	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"15.0","main.cluster index_upperinput":"15.0"}	This Node is a Singleton	N/A	N/A	N/A	20.5000	20.5000	0	N/A	N/A	0	0	15	-1	0	671.2160	0	671.2160	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"16.0","main.cluster index_upperinput":"16.0"}	This Node is a Singleton	N/A	N/A	N/A	19.0000	19.0000	0	N/A	N/A	0	0	16	-1	0	-776.4740	-1	778.4740	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"17.0","main.cluster index_upperinput":"17.0"}	This Node is a Singleton	N/A	N/A	N/A	17.4000	17.4000	0	N/A	N/A	0	0	17	-1	0	-630.4170	-1	632.4170	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"18.0","main.cluster index_upperinput":"18.0"}	This Node is a Singleton	N/A	N/A	N/A	21.0000	21.0000	0	N/A	N/A	0	0	18	-1	0	-818.4820	-1	820.4820	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"19.0","main.cluster index_upperinput":"19.0"}	This Node is a Singleton	N/A	N/A	N/A	21.8000	21.8000	0	N/A	N/A	0	0	19	-1	0	-747.4470	-1	749.4470	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"21.0","main.cluster index_upperinput":"21.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	17.2000	17.2000	0	N/A	N/A	0	0	21	2	0	-795.4660	-1	797.4660	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"22.0","main.cluster index_upperinput":"22.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=11&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	7.0000	7.0000	0	N/A	N/A	0	0	22	11	0	-341.0670	-1	343.0670	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"23.0","main.cluster index_upperinput":"23.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=133&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	15.9000	15.9000	0	N/A	N/A	0	0	23	133	0	-630.4170	-1	632.4170	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"24.0","main.cluster index_upperinput":"24.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	23.1000	23.1000	0	N/A	N/A	0	0	24	2	0	-1010.5470	-1	1012.5470	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"25.0","main.cluster index_upperinput":"25.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	19.0000	19.0000	0	N/A	N/A	0	0	25	6	0	-793.4550	-1	795.4550	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"26.0","main.cluster index_upperinput":"26.0"}	This Node is a Singleton	N/A	N/A	N/A	17.9000	17.9000	0	N/A	N/A	0	0	26	-1	0	541.1770	0	541.1770	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"27.0","main.cluster index_upperinput":"27.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=194&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	19.2000	19.2000	0	N/A	N/A	0	0	27	194	0	-864.4570	-1	866.4570	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"28.0","main.cluster index_upperinput":"28.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	18.5000	18.5000	0	N/A	N/A	0	0	28	2	0	-968.5340	-1	970.5340	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"29.0","main.cluster index_upperinput":"29.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	25.5000	25.5000	0	N/A	N/A	0	0	29	2	0	-920.5140	-1	922.5140	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"30.0","main.cluster index_upperinput":"30.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	14.8000	14.8000	0	N/A	N/A	0	0	30	6	0	-792.4680	-1	794.4680	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"31.0","main.cluster index_upperinput":"31.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=18&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	15.5000	15.5000	0	N/A	N/A	0	0	31	18	0	-579.1640	-1	581.1640	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"32.0","main.cluster index_upperinput":"32.0"}	This Node is a Singleton	N/A	N/A	N/A	20.6000	20.6000	0	N/A	N/A	0	0	32	-1	0	-777.4560	-1	779.4560	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"33.0","main.cluster index_upperinput":"33.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=275&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	15.7000	15.7000	0	N/A	N/A	0	0	33	275	0	-1450.7020	-1	1452.7020	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"34.0","main.cluster index_upperinput":"34.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=475&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	25.7000	25.7000	0	N/A	N/A	0	0	34	475	0	-1719.8090	-1	1721.8090	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"35.0","main.cluster index_upperinput":"35.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=194&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	21.3000	21.3000	0	N/A	N/A	0	0	35	194	0	-848.4580	-1	850.4580	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"36.0","main.cluster index_upperinput":"36.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=11&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	11.9000	11.9000	0	N/A	N/A	0	0	36	11	0	-949.1110	-1	951.1110	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"37.0","main.cluster index_upperinput":"37.0"}	This Node is a Singleton	N/A	N/A	N/A	24.1000	24.1000	0	N/A	N/A	0	0	37	-1	0	-1771.8580	-1	1773.8580	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"39.0","main.cluster index_upperinput":"39.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=57&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	22.4000	22.4000	0	N/A	N/A	0	0	39	57	0	-1728.8580	-1	1730.8580	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"41.0","main.cluster index_upperinput":"41.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=11&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	9.2000	9.2000	0	N/A	N/A	0	0	41	11	0	-647.0960	-1	649.0960	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"42.0","main.cluster index_upperinput":"42.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=38&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	22.2000	22.2000	0	N/A	N/A	0	0	42	38	0	-1797.8190	-1	1799.8190	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"43.0","main.cluster index_upperinput":"43.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=36&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	17.1000	17.1000	0	N/A	N/A	0	0	43	36	0	-669.2160	-1	671.2160	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"44.0","main.cluster index_upperinput":"44.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=15&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	20.9000	20.9000	0	N/A	N/A	0	0	44	15	0	-1049.9600	-1	1051.9600	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"45.0","main.cluster index_upperinput":"45.0"}	This Node is a Singleton	N/A	N/A	N/A	16.0000	16.0000	0	N/A	N/A	0	0	45	-1	0	-762.4580	-1	764.4580	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"48.0","main.cluster index_upperinput":"48.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=75&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	16.9000	16.9000	0	N/A	N/A	0	0	48	75	0	-1450.6830	-1	1452.6830	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"49.0","main.cluster index_upperinput":"49.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=55&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	InChI=1S/C21H22O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-26,28-29H,1H3/t7-,15-,17+,18+,19+,20-,21-/m0/s1	Astilbin/neoastilbin	0.8739110000000001	11.6000	11.6000	0	CC1C(C(C(C(O1)OC2C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O	CCMSLIB00005778363	0	0	49	55	0	-447.1080	-1	449.1080	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"50.0","main.cluster index_upperinput":"50.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=500&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	9.2000	9.2000	0	N/A	N/A	0	0	50	500	0	-755.1540	-1	757.1540	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"51.0","main.cluster index_upperinput":"51.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=15&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	20.8000	20.8000	0	N/A	N/A	0	0	51	15	0	-1061.4800	-1	1063.4800	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"52.0","main.cluster index_upperinput":"52.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=38&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	22.3000	22.3000	0	N/A	N/A	0	0	52	38	0	-1903.8420	-1	1905.8420	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"53.0","main.cluster index_upperinput":"53.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=38&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	19.3000	19.3000	0	N/A	N/A	0	0	53	38	0	-1680.7800	-1	1682.7800	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"54.0","main.cluster index_upperinput":"54.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	19.0000	19.0000	0	N/A	N/A	0	0	54	2	0	-776.4740	-1	778.4740	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"55.0","main.cluster index_upperinput":"55.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=36&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	17.1000	17.1000	0	N/A	N/A	0	0	55	36	0	-669.2160	-1	671.2160	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"56.0","main.cluster index_upperinput":"56.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=75&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	18.1000	18.1000	0	N/A	N/A	0	0	56	75	0	-1304.6400	-1	1306.6400	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"57.0","main.cluster index_upperinput":"57.0"}	This Node is a Singleton	N/A	N/A	N/A	18.6000	18.6000	0	N/A	N/A	0	0	57	-1	0	-325.2170	-1	327.2170	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"58.0","main.cluster index_upperinput":"58.0"}	This Node is a Singleton	N/A	N/A	N/A	26.1000	26.1000	0	N/A	N/A	0	0	58	-1	0	893.3620	0	893.3620	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"59.0","main.cluster index_upperinput":"59.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=9&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	20.8000	20.8000	0	N/A	N/A	0	0	59	9	0	-1887.8480	-1	1889.8480	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"60.0","main.cluster index_upperinput":"60.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	24.7000	24.7000	0	N/A	N/A	0	0	60	2	0	-950.5240	-1	952.5240	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"61.0","main.cluster index_upperinput":"61.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=124&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	22.1000	22.1000	0	N/A	N/A	0	0	61	124	0	-1768.8210	-1	1770.8210	0
